ProjectName,ProjectDeveloper,ProjectOwner,State,County,Latitude,Longitude,Capacity,CurrentPhase,TimelineDays,OnlyCanceled,ArtificialEnd,OperatingDateFirst,PhaseHistory,,,,,,,,,,,,,,,,,,,,,,,
Banner Wind Project,Banner Wind,Banner Wind,AK,Nome Census Area,64.5685,-165.4281,1.17,Operating,223,No,No,No,Operating:12/10/2008,Under Const:9/1/2008,Proposed:5/1/2008,,,,,,,,,,,,,,,,,,,,,
Bar MMM Family Trust Wind,Bar MMM Famility Trust,Bar MMM Famility Trust,OR,Malheur,43.13,-117.058,5,Canceled,1982,Yes,No,No,Canceled:6/29/2017,Postponed:6/13/2016,Proposed:1/25/2012,,,,,,,,,,,,,,,,,,,,,
Barber Ranch Wind,Suzlon Wind Energy,Suzlon Wind Energy,TX,Hartley,35.7496,-102.2742,4.2,Canceled,207,Yes,No,Yes,Canceled:10/24/2017,Proposed:3/31/2017,Retired:5/1/2015,Operating:1/1/2015,Operating:10/1/2011,Under Const:6/7/2011,,,,,,,,,,,,,,,,,,
Baron Winds,Baron Winds,Baron Winds,NY,Steuben,42.2897,-77.3579,300,App Pending,2162,No,Yes,No,App Pending:12/1/2016,Proposed:11/30/2012,,,,,,,,,,,,,,,,,,,,,,
Barren Ridge Wind Project,Wind Energy,Wind Energy,CA,Kern,35.253,-118.0972,90,Canceled,2927,Yes,No,No,Canceled:6/26/2018,Postponed:8/29/2017,Under Const:6/30/2016,App Pending:5/31/2016,Feasibility:1/31/2011,Proposed:6/21/2010,,,,,,,,,,,,,,,,,,
Barstow Wastewater Treatment Plant,Barstow (City of),Barstow (City of),CA,San Bernardino,34.8845,-116.9796,1,Canceled,1380,Yes,No,No,Canceled:5/1/2014,Postponed:8/19/2013,Proposed:7/21/2010,,,,,,,,,,,,,,,,,,,,,
Barton Chapel Wind I,Barton Chapel Wind,Barton Chapel Wind,TX,Jack,33.0713,-98.3604,120,Operating,618,No,No,No,Operating:3/10/2008,Under Const:5/16/2007,Proposed:7/1/2006,,,,,,,,,,,,,,,,,,,,,
Barton Wind Farm,Barton Windpower,Barton Windpower,IA,Worth,43.3934,-93.0867,160,Operating,1475,No,No,No,Operating:6/1/2009,Testing:2/1/2009,Under Const:8/5/2008,Proposed:5/18/2005,,,,,,,,,,,,,,,,,,,,
Baseline Wind Energy Facility,Baseline Wind,Baseline Wind,OR,Gilliam,45.559,-120.1679,300,Canceled,2219,Yes,No,No,Canceled:6/30/2016,Postponed:3/29/2016,Proposed:8/14/2012,Proposed:6/3/2010,,,,,,,,,,,,,,,,,,,,
Bay River Wind,Wind Capital Group,Wind Capital Group,NC,Pamlico,35.1441,-76.7276,150,Canceled,1388,Yes,No,No,Canceled:2/1/2016,Postponed:2/9/2015,Proposed:4/14/2012,,,,,,,,,,,,,,,,,,,,,
Bay State Wind Project,DONG Energy,Eversource Energy Transmission Ventures,MA,Offshore,41.0184,-70.6368,2000,Proposed,687,No,Yes,No,Proposed:12/14/2016,,,,,,,,,,,,,,,,,,,,,,,
Bear Creek Wind (C Bed),Bear Creek Wind Partners,Bear Creek Wind Partners,MN,Todd,46.3097,-95.1452,30,Canceled,2415,Yes,No,No,Canceled:12/13/2013,Postponed:9/18/2013,Permitted:5/19/2009,App Pending:5/27/2007,Proposed:5/4/2007,,,,,,,,,,,,,,,,,,,
Bear Mountain Wind,Bear Mountain Wind,Bear Mountain Wind,BC,,55.7045,-120.4286,102,Operating,1493,No,No,No,Operating:11/2/2009,Under Const:12/31/2007,Permitted:8/20/2007,App Pending:11/29/2006,Proposed:10/1/2005,,,,,,,,,,,,,,,,,,,
Bear River Wind Power,Shell Wind Energy,Bear River Power,CA,Humboldt,40.4872,-124.2967,75,Canceled,2480,Yes,No,No,Canceled:7/11/2012,App Pending:3/21/2007,Proposed:9/26/2005,Feasibility:12/31/2004,,,,,,,,,,,,,,,,,,,,
Bearkat Renewable Energy Project,Bearkat TE Partnership,Copenhagen Infrastructure II,TX,Glasscock,31.8239,-101.5703,196.7,Operating,1178,No,No,No,Operating:2/28/2018,Testing:1/31/2018,Operating:1/4/2018,Proposed:7/1/2017,Under Const:9/30/2015,Under Const:7/1/2015,Proposed:10/14/2014,,,,,,,,,,,,,,,,,
Beatrice Wind Facility,Beatrice Renewable Energy,Beatrice Renewable Energy,NE,Gage,40.309,-96.656,1.7,Canceled,859,Yes,No,No,Canceled:4/24/2018,Proposed:12/17/2015,,,,,,,,,,,,,,,,,,,,,,
Beaver Creek Wind Energy,Catamount Energy,Catamount Energy,OK,Beaver,36.7507,-100.4784,100,Canceled,929,Yes,No,No,Canceled:5/6/2008,Proposed:10/20/2005,,,,,,,,,,,,,,,,,,,,,,
Beaver Creek Wind I,Beaver Creek Wind I,Beaver Creek Wind II,MT,Sweet Grass,45.92,-109.44,80,Proposed,630,No,Yes,No,Proposed:4/16/2018,Proposed:2/9/2017,,,,,,,,,,,,,,,,,,,,,,
Beaver Creek Wind Project,MidAmerican Energy Co,MidAmerican Energy Co,IA,Greene,42.1205,-94.1143,170,Operating,668,No,No,No,Operating:2/12/2018,Testing:11/29/2017,Under Const:4/1/2017,Permitted:8/30/2016,Proposed:4/15/2016,,,,,,,,,,,,,,,,,,,
Beaver Ridge Wind,Patriot Renewables,Patriot Renewables,ME,Waldo,44.4963,-69.3345,4.5,Operating,203,No,No,No,Operating:1/27/2016,Proposed:7/8/2015,,,,,,,,,,,,,,,,,,,,,,
Bedford Wind Farm,Invenergy Wind North America,Invenergy Wind North America,PA,Bedford,40.1766,-78.1283,90,Canceled,2069,Yes,No,No,Canceled:1/31/2016,Postponed:9/11/2014,Proposed:6/2/2010,,,,,,,,,,,,,,,,,,,,,
Beech Ridge Wind Farm (WV),Beech Ridge Energy,Beech Ridge Energy Storage,WV,Greenbrier,38.0656,-80.5217,84,Operating,1856,No,No,No,Operating:11/3/2015,Under Const:2/1/2015,Under Const:12/17/2014,Proposed:2/25/2014,Permitted:6/21/2013,Proposed:3/1/2013,Operating:8/15/2010,Under Const:7/27/2010,Testing:1/1/2010,Under Const:4/7/2009,Permitted:2/13/2009,App Pending:11/1/2005,Proposed:7/16/2005,,,,,,,,,,,
Beekmantown Wind Project,Penn Energy Trust,Penn Energy Trust,NY,Clinton,44.772,-73.6018,20,Canceled,280,Yes,No,No,Canceled:6/28/2013,Proposed:9/21/2012,Postponed:10/5/2011,App Pending:3/17/2009,Permitted:1/31/2007,App Pending:11/11/2006,,,,,,,,,,,,,,,,,,
Beethoven Wind,NorthWestern,NorthWestern,SD,Hutchinson,43.173,-98.068,40.7,Operating,807,No,No,No,Operating:5/28/2015,Under Const:12/31/2013,Permitted:12/2/2013,Proposed:3/12/2013,,,,,,,,,,,,,,,,,,,,
Belle River Wind Farm,International Power Canada,International Power Canada,ON,,42.2523,-82.6117,100,Operating,2787,No,No,No,Operating:8/19/2017,Testing:8/9/2017,Under Const:10/1/2016,App Pending:9/12/2012,Proposed:1/1/2010,,,,,,,,,,,,,,,,,,,
Belledune Wind Project,Villiage of Belledune,Villiage of Belledune,NB,,47.9041,-65.8418,30,Canceled,3751,Yes,No,No,Canceled:10/2/2017,Postponed:6/29/2016,Proposed:6/26/2007,,,,,,,,,,,,,,,,,,,,,
Bellmont Windpark,Noble Bellmont Windpark,Noble Bellmont Windpark,NY,Franklin,44.7561,-74.1064,21,Operating,3297,No,No,No,Operating:1/1/2016,Under Const:3/15/2015,Canceled:4/8/2010,Under Const:1/25/2010,Postponed:2/24/2009,Under Const:6/17/2008,Site Prep:4/28/2008,Permitted:4/27/2008,App Pending:9/2/2007,Proposed:12/22/2006,,,,,,,,,,,,,,
Belvoir Ranch Wind Farm,Morley Co,Morley Co,WY,Laramie,41.0686,-105.1251,300,Proposed,2520,No,Yes,No,Proposed:12/8/2011,,,,,,,,,,,,,,,,,,,,,,,
Belwood Wind Energy Centre,TransCanada,TransCanada,ON,,43.8192,-80.3536,62.5,Canceled,822,Yes,No,No,Canceled:5/4/2012,Proposed:2/2/2010,,,,,,,,,,,,,,,,,,,,,,
Benchlands Wind,EarthFirst Canada,EarthFirst Canada,SK,,50.0172,-108.8825,5.4,Canceled,77,Yes,No,No,Canceled:2/23/2011,Proposed:6/16/2009,Canceled:6/13/2006,Proposed:3/28/2006,,,,,,,,,,,,,,,,,,,,
Benjamin River Wind,Shear Wind,Shear Wind,NB,,47.9424,-66.1874,150,Canceled,3090,Yes,No,No,Canceled:1/27/2017,Postponed:1/29/2016,Proposed:5/26/2011,Postponed:12/17/2010,Proposed:8/12/2008,,,,,,,,,,,,,,,,,,,
Bennett Creek Windfarm,Bennett Creek Windfarm,Bennett Creek Windfarm,ID,Elmore,43.0522,-115.4808,21,Operating,1313,No,No,No,Operating:8/31/2008,Testing:7/1/2008,Under Const:3/12/2008,Permitted:3/6/2008,App Pending:6/27/2005,Proposed:1/26/2005,,,,,,,,,,,,,,,,,,
Benson Creek Windfarm,Benson Creek Windfarm,Benson Creek Windfarm,OR,Baker,44.367,-117.344,10,Operating,1892,No,No,No,Operating:3/31/2017,Under Const:7/26/2016,Proposed:1/25/2012,,,,,,,,,,,,,,,,,,,,,
Benson Wind,Benson Wind Farm,Benson Wind Farm,IL,Woodford,40.8316,-89.0448,100,Canceled,3780,Yes,No,No,Canceled:9/20/2013,Postponed:4/20/2011,Proposed:9/6/2008,Postponed:10/17/2006,App Pending:7/20/2006,Proposed:7/15/2006,Proposed:5/16/2003,,,,,,,,,,,,,,,,,
Bent Tree Wind Farm,Wisconsin Power & Light Co,Wisconsin Power & Light Co,MN,Freeborn,43.7636,-93.4744,201.3,Canceled,1015,No,No,No,Canceled:12/30/2014,Postponed:8/30/2013,Operating:2/7/2011,Testing:12/1/2010,Under Const:4/1/2010,Permitted:10/1/2009,Permitted:9/30/2009,App Pending:6/6/2008,Proposed:4/28/2008,,,,,,,,,,,,,,,
Berkshire Wind Power,Massachusetts Municipal Wholesale Electric Co,Massachusetts Municipal Wholesale Electric Co,MA,Berkshire,42.5776,-73.2762,15,Operating,4150,No,No,No,Operating:5/12/2011,Testing:4/4/2011,Under Const:6/17/2009,Site Prep:9/15/2008,Permitted:2/11/2008,Postponed:1/26/2007,Under Const:5/26/2006,Permitted:10/15/2004,App Pending:4/28/2004,Proposed:12/31/1999,,,,,,,,,,,,,,
Berry Creek WAGF,EDF Energies Nouvelles,EDF Energies Nouvelles,AB,,51.4494,-111.5824,200,Proposed,729,No,Yes,No,Proposed:11/2/2016,,,,,,,,,,,,,,,,,,,,,,,
Bethel Wind Farm,Bethel Wind Farm,Bethel Wind Farm,TX,Castro,34.5157,-102.4288,276,Operating,378,No,No,No,Operating:2/1/2017,Testing:1/1/2017,Under Const:7/31/2016,App Pending:7/26/2016,Under Const:2/28/2016,Proposed:1/20/2016,,,,,,,,,,,,,,,,,,
Big Blue Wind Farm,Big Blue Windfarm,Big Blue Windfarm,MN,Faribault,43.6151,-94.2229,36,Operating,3424,No,No,No,Operating:12/15/2012,Under Const:11/6/2011,Permitted:8/17/2011,App Pending:12/3/2010,Proposed:5/16/2006,Postponed:1/5/2005,Proposed:8/1/2003,,,,,,,,,,,,,,,,,
Big Horn Wind,Big Horn Wind Project,Big Horn Wind Project,WA,Klickitat,45.8927,-120.2895,199,Operating,611,No,No,No,Operating:11/1/2010,Under Const:6/1/2010,Proposed:10/22/2008,Operating:10/1/2006,Under Const:10/28/2005,Proposed:1/28/2005,,,,,,,,,,,,,,,,,,
Big Horn Wind Project,NS2 Energy North America,NS2 Energy North America,MT,Big Horn,45.77,-107.955,10,Canceled,753,Yes,No,No,Canceled:3/31/2014,Postponed:1/21/2014,Proposed:3/8/2012,,,,,,,,,,,,,,,,,,,,,
Big Level Wind Project,Big Level Wind,Big Level Wind,PA,Potter,41.9042,-77.7612,90,Permitted,855,Yes,No,No,Permitted:12/31/2017,App Pending:12/1/2016,Proposed:4/16/2016,Feasibility:11/14/2015,Canceled:8/23/2007,Postponed:10/23/2006,Proposed:4/20/2005,,,,,,,,,,,,,,,,,
Big Otter Wind,Big Otter Wind Energy,Big Otter Wind Energy,MT,Cascade,47.3548,-110.9548,10,Canceled,785,Yes,No,No,Canceled:6/3/2012,Proposed:1/7/2011,Proposed:4/10/2010,,,,,,,,,,,,,,,,,,,,,
Big Otter Wind Energy II,Big Otter Wind Energy II,Big Otter Wind Energy II,MT,Cascade,47.327,-110.957,10,Canceled,785,Yes,No,No,Canceled:6/3/2012,Proposed:4/10/2010,,,,,,,,,,,,,,,,,,,,,,
Big Sandy Creek Wind,Fremantle Energy,Fremantle Energy,CO,El Paso,39.0644,-104.099,81,Canceled,942,Yes,No,No,Canceled:7/2/2013,Postponed:6/25/2012,Proposed:12/3/2010,,,,,,,,,,,,,,,,,,,,,
Big Sandy Wind,Montana Wind,Montana Wind,MT,Chouteau,48.179,-110.1191,10.5,Canceled,1440,Yes,No,No,Canceled:1/1/2011,Postponed:6/3/2008,Proposed:1/22/2007,,,,,,,,,,,,,,,,,,,,,
Big Sky Wind Farm,Big Sky Wind,Big Sky Wind,IL,Bureau,41.5767,-89.4364,239.4,Operating,2132,No,No,No,Operating:2/1/2011,Under Const:6/27/2009,Permitted:7/11/2006,Proposed:4/1/2005,,,,,,,,,,,,,,,,,,,,
Big Smile Wind Farm at Dempsey Ridge,Dempsey Ridge Wind Farm,Dempsey Ridge Wind Farm,OK,Rogers,35.5362,-99.833,132,Canceled,2023,No,No,No,Canceled:10/28/2013,Postponed:2/12/2013,Operating:5/1/2012,Testing:12/1/2011,Under Const:1/19/2011,Proposed:1/1/2010,Postponed:11/13/2009,Proposed:10/17/2006,,,,,,,,,,,,,,,,
Big Turtle Wind Farm,Big Turtle Wind Farm,Big Turtle Wind Farm,MI,Huron,43.8858,-82.6956,30,Operating,477,No,No,No,Operating:12/1/2016,Testing:11/4/2016,Under Const:7/6/2016,Permitted:4/21/2016,Proposed:4/4/2015,Operating:12/31/2014,Canceled:7/28/2014,Under Const:1/30/2014,Permitted:10/9/2013,Proposed:9/10/2013,,,,,,,,,,,,,,
Big Wind Lanai,Castle & Cooke,Castle & Cooke,HI,Maui,20.7867,-156.9413,100,Canceled,3236,Yes,No,No,Canceled:4/15/2016,Proposed:11/14/2011,Postponed:7/15/2011,Proposed:4/15/2011,Feasibility:3/17/2009,Feasibility:3/7/2008,Proposed:6/6/2007,,,,,,,,,,,,,,,,,
Big Wind Molokai,UPC Hawaii Wind Partners,UPC Hawaii Wind Partners,HI,Kalawao,21.1676,-156.9478,200,Canceled,1424,Yes,No,No,Canceled:2/8/2013,Proposed:3/17/2009,Feasibility:10/2/2007,,,,,,,,,,,,,,,,,,,,,
Biglow Canyon,Portland General Electric Co,Portland General Electric Co,OR,Sherman,45.6499,-120.5987,125.4,Operating,882,No,No,No,Operating:7/15/2010,Operating:8/20/2009,Testing:6/18/2009,Under Const:4/17/2009,Permitted:10/30/2008,App Pending:8/11/2008,Operating:12/21/2007,Under Const:4/1/2007,Permitted:6/30/2006,App Pending:10/12/2005,Proposed:7/22/2005,,,,,,,,,,,,,
Birch Power,Birch Power Group,Birch Power Co,IA,Taylor,40.768,-94.474,1.7,Operating,105,No,No,No,Operating:3/31/2017,Proposed:12/16/2016,,,,,,,,,,,,,,,,,,,,,,
Bishop Hill Wind Energy Center,Invenergy,Bishop Hill Energy,IL,Henry,41.2332,-90.1215,209.4,Operating,2466,No,No,No,Operating:5/7/2018,Under Const:11/24/2017,Permitted:5/7/2015,Operating:12/10/2012,Operating:7/9/2012,Under Const:1/23/2012,Testing:2/17/2011,Under Const:2/15/2011,Permitted:12/20/2009,Proposed:1/14/2007,App Pending:9/18/2006,Proposed:10/8/2005,,,,,,,,,,,,
Bisnett Line Wind Farm,Boralex,Boralex,ON,,42.2787,-81.9917,10,Operating,1179,No,No,No,Operating:1/29/2010,Permitted:3/7/2007,App Pending:2/27/2007,Proposed:11/7/2006,,,,,,,,,,,,,,,,,,,,
Bison Wind Project,ALLETE,ALLETE,ND,Oliver,46.9894,-101.5203,36.8,Operating,931,No,No,No,Operating:1/19/2015,Under Const:11/13/2013,Permitted:9/27/2013,Operating:12/19/2012,Under Const:2/6/2012,Permitted:10/12/2011,Under Const:6/22/2011,App Pending:2/4/2011,Operating:12/8/2010,Under Const:1/25/2010,Site Prep:10/7/2009,Permitted:9/29/2009,App Pending:3/23/2009,Proposed:5/21/2008,,,,,,,,,,
Bitter Ridge Wind Farm,Scout Clean Energy,Scout Clean Energy,IN,Jay,40.3434,-85.1047,130,Proposed,179,No,Yes,No,Proposed:5/6/2018,,,,,,,,,,,,,,,,,,,,,,,
Black Bear Wind,Building Energy Holding US,Building Energy Holding US,MT,Stillwater,45.806,-109.24,79.2,Proposed,192,No,Yes,No,Proposed:4/23/2018,,,,,,,,,,,,,,,,,,,,,,,
Black Canyon Wind,Black Canyon,Black Canyon,ID,Bonneville,43.5026,-111.8726,19.8,Permitted,3857,No,Yes,No,Permitted:9/23/2016,Proposed:3/1/2012,Postponed:6/1/2011,Proposed:4/10/2008,,,,,,,,,,,,,,,,,,,,
Black Fork Wind Farm,Black Fork Wind,Gary Energetics,OH,Richland,40.913,-82.711,201.6,Permitted,3444,No,Yes,No,Permitted:9/21/2016,Proposed:5/1/2015,Permitted:1/23/2012,App Pending:8/31/2009,Proposed:5/28/2009,,,,,,,,,,,,,,,,,,,
Black Hills Wind Project,Wind Energy,Wind Energy,CA,Imperial,33.3949,-115.0528,200,Canceled,2037,Yes,No,No,Canceled:1/18/2016,Proposed:4/5/2013,Proposed:6/21/2010,,,,,,,,,,,,,,,,,,,,,
Black Mesa Wind Project,Powerworks,Idaho Wind,ID,Elmore,42.9019,-115.0469,20,Canceled,3294,Yes,No,No,Canceled:12/29/2014,Postponed:12/31/2013,Permitted:7/11/2006,Proposed:12/22/2005,,,,,,,,,,,,,,,,,,,,
Black Mountain Wind,BP Wind Energy North America,BP Wind Energy North America,VA,Wise,36.9702,-82.8621,150,Canceled,1734,Yes,No,No,Canceled:12/23/2013,Postponed:9/18/2012,Permitted:9/10/2009,Proposed:3/25/2009,,,,,,,,,,,,,,,,,,,,
Black Mountain Wind Farm,First Wind,First Wind,ME,Oxford,44.5831,-70.6347,40,Proposed,3548,No,Yes,No,Proposed:7/2/2010,Postponed:11/6/2009,Proposed:2/13/2009,,,,,,,,,,,,,,,,,,,,,
Black Oak Wind Farm,Black Oak Wind Farm,Black Oak Wind Farm,NY,Tompkins,42.4358,-76.6317,16.1,Canceled,4005,Yes,No,No,Canceled:12/26/2017,Postponed:8/1/2017,Under Const:9/8/2016,Site Prep:5/1/2015,Permitted:1/18/2015,App Pending:9/25/2014,Proposed:1/8/2007,,,,,,,,,,,,,,,,,
Black Oak Wind Farm (MN),Black Oak Wind,Black Oak Wind,MN,Stearns,45.6491,-95.0475,78,Operating,2207,No,No,No,Operating:12/31/2016,Testing:11/1/2016,Under Const:3/21/2016,Permitted:12/7/2012,App Pending:10/11/2011,Proposed:12/16/2010,,,,,,,,,,,,,,,,,,
Black River Wind Farm (NS),Nova Scotia Power,Nova Scotia Power,NS,,46.1519,-61.3504,6,Canceled,1007,Yes,No,No,Canceled:11/2/2006,Proposed:1/30/2004,,,,,,,,,,,,,,,,,,,,,,
Black Spruce Wind Farm,SWEB Development USA,Black & Macdonald,NB,,45.8657,-67.0924,151.2,Proposed,462,No,Yes,No,Proposed:7/27/2017,,,,,,,,,,,,,,,,,,,,,,,
Blackfeet Wind Farm,Clark Fork & Blackfoot,Clark Fork & Blackfoot,MT,Glacier,48.6667,-112.9167,66,Canceled,269,Yes,No,No,Canceled:2/1/2002,Postponed:1/31/2002,Proposed:5/8/2001,,,,,,,,,,,,,,,,,,,,,
Blackspring Ridge Wind Project,Vestas Wind Systems,Blackspring Ridge IA Wind Project,AB,,50.1222,-112.8878,298.8,Operating,2360,No,No,No,Operating:5/12/2014,Testing:4/1/2014,Under Const:6/20/2013,Permitted:2/2/2011,App Pending:11/11/2009,Proposed:11/25/2007,,,,,,,,,,,,,,,,,,
Blackwell Wind,Blackwell Wind,Blackwell Wind,OK,,36.8473,-97.4052,59.8,Operating,576,No,No,No,Operating:11/30/2012,Under Const:9/13/2012,Permitted:2/28/2012,Proposed:5/4/2011,,,,,,,,,,,,,,,,,,,,
Blazing Star Wind Farm,Xcel Energy,Xcel Energy,MN,Lincoln,44.4819,-96.4475,200,Permitted,736,No,Yes,No,Permitted:12/31/2017,App Pending:11/29/2017,App Pending:11/28/2017,Proposed:10/26/2016,,,,,,,,,,,,,,,,,,,,
Bliss Windfield,Noble Wind Operation,Noble Bliss Windpark,NY,Wyoming,42.5442,-78.2468,100.5,Operating,1228,No,No,No,Operating:5/13/2008,Testing:12/4/2007,Under Const:6/6/2007,Permitted:11/9/2006,App Pending:1/31/2006,Proposed:1/1/2005,,,,,,,,,,,,,,,,,,
Blissfield Wind Energy Project,John Deere Wind Energy,John Deere Wind Energy,MI,Lenawee,41.7904,-83.8391,81,Canceled,503,Yes,No,No,Canceled:11/10/2011,Proposed:6/25/2010,,,,,,,,,,,,,,,,,,,,,,
Block Island Wind,Deepwater Wind Block Island,Deepwater Wind Block Island,RI,Offshore,41.2002,-71.1961,30,Operating,2894,No,No,No,Operating:12/12/2016,Testing:8/18/2016,Under Const:3/2/2015,Site Prep:3/26/2014,App Pending:10/1/2012,Proposed:6/10/2010,Postponed:3/31/2010,Proposed:1/9/2009,,,,,,,,,,,,,,,,
Bloom Wind Power Project,CP Bloom Wind,CP Bloom Wind,KS,Ford,37.478,-100.027,178,Operating,1430,No,No,No,Operating:6/1/2017,Under Const:6/22/2016,Proposed:7/2/2013,,,,,,,,,,,,,,,,,,,,,
Blue Breezes Wind Project II,Blue Breezes II,Blue Breezes II,MN,Faribault,43.6558,-94.1564,1.3,Operating,320,No,No,No,Operating:5/1/2006,Proposed:6/15/2005,,,,,,,,,,,,,,,,,,,,,,
Blue Canyon Wind,Blue Canyon Windpower,Blue Canyon Windpower,OK,Comanche,34.8455,-98.5614,74.3,Operating,333,No,No,No,Operating:12/23/2011,Under Const:1/12/2011,Operating:10/31/2009,Testing:9/30/2009,Under Const:6/27/2009,Site Prep:3/30/2009,Proposed:2/5/2009,Operating:12/29/2005,Under Const:4/29/2005,Operating:12/23/2003,Under Const:6/27/2003,Proposed:1/29/2003,Proposed:1/24/2003,,,,,,,,,,,
Blue Cloud Renewable Energy,Blue Cloud Wind Energy,Blue Cloud Wind Energy,TX,Lamb,34.0448,-102.5845,148.4,Proposed,217,No,Yes,No,Proposed:3/29/2018,App Pending:8/18/2014,,,,,,,,,,,,,,,,,,,,,,
Blue Creek Wind Energy Project,Blue Creek Wind Energy Facility,Blue Creek Wind Energy Facility,TX,Moore,35.681,-101.9987,10,Canceled,1766,Yes,No,No,Canceled:1/18/2013,Postponed:3/10/2010,Permitted:9/8/2009,Proposed:3/19/2008,,,,,,,,,,,,,,,,,,,,
Blue H Offshore Wind,Blue H USA,Blue H USA,MA,Offshore,41.0739,-70.5013,420,Canceled,1763,Yes,No,No,Canceled:1/10/2013,Postponed:12/13/2011,Proposed:3/14/2008,,,,,,,,,,,,,,,,,,,,,
Blue Highlands Wind Farm,Brookfield Renewable Energy Partners,Brookfield Renewable Energy Partners,ON,,44.4945,-80.2157,49.5,Canceled,1072,Yes,No,No,Canceled:7/28/2006,Canceled:12/21/2005,App Pending:1/6/2005,Proposed:1/14/2003,,,,,,,,,,,,,,,,,,,,
Blue Hills Wind,Algonquin Power Co,Algonquin Power Co,SK,,50.3066,-107.2449,177,Permitted,659,No,Yes,No,Permitted:9/20/2018,Proposed:1/11/2017,,,,,,,,,,,,,,,,,,,,,,
Blue Mountain (UT) Wind,Greenbriar Capital,Greenbriar Capital,UT,San Juan,37.9744,-109.3192,80,Postponed,2557,No,Yes,No,Postponed:9/22/2017,Under Const:12/9/2013,Proposed:7/31/2012,Postponed:12/31/2011,Proposed:11/1/2011,,,,,,,,,,,,,,,,,,,
Blue Ridge Wind Farm,Midwest Wind Energy,Midwest Wind Energy,IL,Piatt,40.1503,-88.5592,150,Canceled,1206,Yes,No,No,Canceled:11/11/2014,Postponed:12/9/2013,Proposed:7/24/2011,,,,,,,,,,,,,,,,,,,,,
Blue Sky East Wind Project,Blue Sky East,Blue Sky East,ME,Hancock,44.6902,-68.1732,34.2,Operating,993,No,No,No,Operating:12/14/2016,Under Const:9/30/2016,Proposed:8/25/2014,Operating:11/14/2012,Feasibility:9/27/2012,Under Const:6/12/2012,Permitted:10/5/2011,App Pending:1/31/2011,Proposed:2/25/2010,,,,,,,,,,,,,,,
Blue Sky Green Field Wind Project,Wisconsin Electric Power Co,Wisconsin Electric Power Co,WI,Fond Du Lac,43.8963,-88.2809,145.2,Operating,1962,No,No,No,Operating:5/19/2008,Under Const:6/30/2007,Permitted:1/26/2007,App Pending:3/17/2006,Proposed:1/4/2003,,,,,,,,,,,,,,,,,,,
Blue Sky Wind Farm,International Power Canada,International Power Canada,ON,,42.168,-82.8926,34.2,Canceled,1206,Yes,No,No,Canceled:11/19/2012,Postponed:7/30/2012,Proposed:8/1/2009,,,,,,,,,,,,,,,,,,,,,
Blue Sky Wind Project,GDF SUEZ Canada,GDF SUEZ Canada,ON,,42.1511,-82.889,60,Canceled,1056,Yes,No,No,Canceled:6/19/2018,Postponed:8/8/2017,Proposed:7/29/2015,,,,,,,,,,,,,,,,,,,,,
Blue Summit Wind Project,Blue Summit Wind,Blue Summit Storage,TX,Wilbarger,34.2989,-99.3707,135.4,Under Const,1767,No,No,No,Under Const:6/15/2018,App Pending:6/1/2018,App Pending:11/1/2017,Operating:4/30/2017,Under Const:2/24/2017,Permitted:1/26/2017,Operating:11/1/2012,Under Const:8/1/2012,Proposed:1/27/2012,Canceled:9/27/2008,Proposed:12/31/2007,,,,,,,,,,,,,
Blue Trail Wind,Vision Quest Windelectric,Vision Quest Windelectric,AB,,49.6562,-113.4931,66,Operating,1766,No,No,No,Operating:11/2/2009,Testing:9/1/2009,Permitted:5/8/2007,Postponed:10/23/2006,Permitted:1/23/2006,App Pending:10/14/2005,Proposed:1/1/2005,,,,,,,,,,,,,,,,,
Bluebonnet Wind Farm,Pacific Winds,Pacific Winds,TX,Lamb,34.0849,-102.374,100,Canceled,1440,Yes,No,No,Canceled:12/11/2012,Postponed:12/20/2011,Proposed:1/1/2009,,,,,,,,,,,,,,,,,,,,,
Bluegrass Ridge Wind Energy,Wind Capital Holdings,Wind Capital Holdings,MO,Gentry,40.0931,-94.5099,33.6,Operating,295,No,No,No,Operating:5/14/2007,Operating:11/22/2006,Under Const:10/23/2006,Under Const:7/17/2006,Site Prep:6/12/2006,Permitted:5/12/2006,App Pending:3/11/2006,Proposed:1/31/2006,,,,,,,,,,,,,,,,
Bluegrove Wind,Bluegrove Wind,Bluegrove Wind,TX,Clay,33.6902,-98.2331,100,App Pending,1050,No,Yes,No,App Pending:7/31/2017,Proposed:12/17/2015,,,,,,,,,,,,,,,,,,,,,,
Bluestone Wind,Bluestone Wind,Bluestone Wind,NY,Broome,42.0753,-75.5581,125,Proposed,758,No,Yes,No,Proposed:10/4/2016,,,,,,,,,,,,,,,,,,,,,,,
Bluewater Wind (DE),Bluewater Wind Delaware,Bluewater Wind Delaware,DE,Offshore,38.6874,-74.8663,200,Canceled,3605,Yes,No,No,Canceled:8/26/2016,Postponed:12/12/2011,Site Prep:2/11/2011,Proposed:6/24/2008,Postponed:12/18/2007,Proposed:10/13/2006,,,,,,,,,,,,,,,,,,
Bluewater Wind Energy Centre,NextEra Energy Canada,NextEra Energy Canada,ON,,43.5021,-81.6185,59.2,Operating,1498,No,No,No,Operating:7/21/2014,Under Const:3/3/2014,Proposed:6/14/2010,,,,,,,,,,,,,,,,,,,,,
